uid,title,synopsis,genre,aired,episodes,members,popularity,ranked,score,img_url,link
34979,Shounen Ashibe: Go! Go! Goma-chan 2,Second season of  Shounen Ashibe: Go! Go! Goma-chan .,"['Slice of Life', 'Comedy', 'Seinen']","Apr 4, 2017 to Feb 13, 2018",32.0,805,9952,9054.0,5.78,https://cdn.myanimelist.net/images/anime/6/89580.jpg,https://myanimelist.net/anime/34979/Shounen_Ashibe__Go_Go_Goma-chan_2
5372,Seisenshi Dunbine OVA,"Taking place 700 years after the Dunbine TV Series, ""The Tale of Neo Byston Well"" revolves around Shion Zaba, the reincarnation of series protagonist Sho Zama. Together with Silkie Mau, Reml Jilfried (the reincarnation of Remile Luft), and the Aura Battler Silbine, Shion must stop a twisted Shot Weapon from launching a custom-made nuclear ICBM missile that's poised to wipe out the realm. 
 
""The Tale of Neo Byston Well"" gained praise not only for its upgraded animation but also for using B-CLUB Magazine's popular AURA FANTASM series as the basis for the new Aura Battler designs.","['Sci-Fi', 'Adventure', 'Mecha']","Feb 25, 1988 to Aug 25, 1988",3.0,1495,8643,9053.0,5.77,https://cdn.myanimelist.net/images/anime/1889/93996.jpg,https://myanimelist.net/anime/5372/Seisenshi_Dunbine_OVA
33761,Qui Shui Yi Yun,"A villa, involved in strange circumstances in the 1990s, is bulldozed and new homes are built on top. The ostensibly peaceful town and its inhabitants will soon have its cover blown wide open. Mysterious forces are at play, rooted in a disturbing truth.","['Horror', 'Mystery', 'Supernatural']","Jul 16, 2015 to Apr 7, 2016",12.0,711,10230,9052.0,5.78,https://cdn.myanimelist.net/images/anime/2/81276.jpg,https://myanimelist.net/anime/33761/Qui_Shui_Yi_Yun
8231,Princess Lover!: Magical Knight Maria-chan,"Promo-like shorts, featuring Maria as a magical knight.","['Magic', 'Parody']","Oct 23, 2009 to Mar 25, 2010",6.0,7712,4824,9051.0,5.78,https://cdn.myanimelist.net/images/anime/11/21291.jpg,https://myanimelist.net/anime/8231/Princess_Lover__Magical_Knight_Maria-chan
13299,Houkago no Tinker Bell,"Based on a story from the After School Series line of light novels. 
 
Kenichi Akizuki and Misako Watanabe work together to solve the mysterious disappearance of their classmate Ryouko Miyazaki.  The only clue left by the kidnapper is signed Koushin Okazaki, her late classmate who'd committed suicide to preserve his youth and become like Peter Pan.","['Comedy', 'Drama', 'Mystery', 'Romance', 'School', 'Slice of Life']","Jul 22, 1992",1.0,524,10903,9042.0,5.78,https://cdn.myanimelist.net/images/anime/5/37213.jpg,https://myanimelist.net/anime/13299/Houkago_no_Tinker_Bell
36945,Himote House,"The comedy anime centers on five girls and one cat all living as housemates in Nakano, Tokyo: the three Himote sisters (Tokiyo, Kinami, and Kokoro) whose family manages the ""Himote House,"" Kokoro's classmates Tae and Minamo, and the cat Enishi. The girls live their daily lives trying to figure out ways to be popular, and they (and the cat) all possess a mysterious secret power... 
 
(Source: ANN)","['Comedy', 'Super Power']","Oct 8, 2018 to Dec 24, 2018",12.0,12408,3964,9041.0,5.78,https://cdn.myanimelist.net/images/anime/1790/94342.jpg,https://myanimelist.net/anime/36945/Himote_House
8356,Himitsukessha Taka no Tsume The Movie II: Watashi wo Aishita Kuro Oolong-Cha,The second Eagle Talon movie.,"['Comedy', 'Parody', 'Super Power']","May 31, 2008",1.0,269,12464,9040.0,5.78,https://cdn.myanimelist.net/images/anime/8/22015.jpg,https://myanimelist.net/anime/8356/Himitsukessha_Taka_no_Tsume_The_Movie_II__Watashi_wo_Aishita_Kuro_Oolong-Cha
34510,Hei Mao Jing Zhang,"The series follows Officer Black Cat's adventures around the forest neighbourhood, apprehending criminals, dealing justice, and solving crimes.","['Action', 'Adventure', 'Cars', 'Comedy', 'Kids', 'Police']","Jan, 1984 to Dec, 1984",5.0,246,12722,9039.0,5.78,https://cdn.myanimelist.net/images/anime/6/83206.jpg,https://myanimelist.net/anime/34510/Hei_Mao_Jing_Zhang
28439,Hatsune Miku x Tetsuya Nomura,"A collaboration video of HATSUNE MIKU x TETSUYA NOMURA (SQUARE ENIX) was screened at Hatsune Miku Art Exhibition ""Universal Positivity""@Wallplay (Oct.9th-Oct.19th), as a part of HATSUNE MIKU EXPO 2014 in New York. 
 
(Source: YouTube)",['Music'],"Oct 9, 2014",1.0,2526,7399,9038.0,5.78,https://cdn.myanimelist.net/images/anime/10/70301.jpg,https://myanimelist.net/anime/28439/Hatsune_Miku_x_Tetsuya_Nomura
37196,Hana (Music),"Spring is the season of encounters and farewells. The song was created in honor of Seiji Fujishiro's best friend who lost an important family member. 
","['Music', 'Kids']","Feb 1, 2008",1.0,105,15169,9037.0,5.78,https://cdn.myanimelist.net/images/anime/1796/90251.jpg,https://myanimelist.net/anime/37196/Hana_Music
39173,Haita,"An original song by Loin featuring the Vocaloid Hatsune Miku, animated by Waboku.",['Music'],"Apr 7, 2017",1.0,110,15132,9036.0,5.78,https://cdn.myanimelist.net/images/anime/1657/98689.jpg,https://myanimelist.net/anime/39173/Haita
24975,Ghibli ga Ippai Special Short Short,A DVD release with a collection of commercials and TV spots produced by Studio Ghibli or its subsidiary Studio Kajino between the years 2000 and 2005.,['Slice of Life'],"Nov 16, 2005",10.0,1519,8602,9034.0,5.78,https://cdn.myanimelist.net/images/anime/4/64003.jpg,https://myanimelist.net/anime/24975/Ghibli_ga_Ippai_Special_Short_Short
23259,Gundam: G no Reconguista,"In the year Regild Century 1014, an entire millennium has passed since the end of the fabled Universal Century, where legends like Amuro Ray and Char Aznable ruled the battlefield as ace mobile suit pilots. The Earth's surface that was once hotly contested is now mostly abandoned, with humanity preferring to live in space colonies and the surface of the moon. 
 
Capital Guard Academy student Bellri Zenam lives a peaceful academic life, but his normal days are brought to an end with the capture of pirate pilot Aida Surugan and her mobile suit G-Self. Bellri feels a strong mental connection with the G-Self and discovers that he is able to pilot it. He soon finds himself in contention with the ""Capital Guard,"" a radical faction that follows its own secret agenda despite the wishes of the Amerian Army, who still hold power on Earth. Joining the crew of the Amerian spaceship Megafauna, Bellri and Aida must pilot the G-Self to victory against the Capital Guard and its leaders, the charismatic Colonel Kunpa Rushita and the enigmatic Captain Mask. 
 
[Written by MAL Rewrite]","['Action', 'Mecha', 'Sci-Fi', 'Space']","Oct 3, 2014 to Mar 27, 2015",26.0,22565,3012,9035.0,5.78,https://cdn.myanimelist.net/images/anime/12/63753.jpg,https://myanimelist.net/anime/23259/Gundam__G_no_Reconguista
